customer_id,zone,signup_date,loyalty_tier
C00001,Rajajinagar,2023-09-05,Bronze
C00002,HSR Layout,2023-06-09,Gold
C00003,Malleshwaram,2024-01-15,Gold
C00004,Marathahalli,2024-04-28,Bronze
C00005,Koramangala,2023-07-10,Bronze
C00006,Yelahanka,2024-07-13,Silver
C00007,Rajajinagar,2024-04-11,Bronze
C00008,Rajajinagar,2023-05-02,Silver
C00009,Koramangala,2024-11-16,Bronze
C00010,HSR Layout,2023-02-02,Bronze
C00011,Whitefield,2024-04-22,Silver
C00012,BTM Layout,2023-11-17,Bronze
C00013,Electronic City,2024-04-22,Bronze
C00014,Malleshwaram,2024-07-19,Bronze
C00015,HSR Layout,2024-05-16,Bronze
C00016,Indiranagar,2024-04-20,Bronze
C00017,Jayanagar,2024-09-05,Bronze
C00018,Koramangala,2024-05-27,Silver
C00019,Malleshwaram,2024-08-17,Bronze
C00020,Electronic City,2023-10-22,Bronze
C00021,Rajajinagar,2023-05-29,Bronze
C00022,Whitefield,2023-06-21,Bronze
C00023,Yelahanka,2024-03-22,Bronze
C00024,Hebbal,2024-01-24,Silver
C00025,Rajajinagar,2023-02-26,Bronze
C00026,Indiranagar,2023-05-30,Bronze
C00027,HSR Layout,2024-12-07,Bronze
C00028,Koramangala,2024-06-14,Bronze
C00029,Koramangala,2024-07-05,Bronze
C00030,Marathahalli,2023-05-24,Bronze
C00031,Marathahalli,2023-02-16,Bronze
C00032,BTM Layout,2023-08-01,Gold
C00033,Whitefield,2024-09-17,Bronze
C00034,Whitefield,2024-01-05,Bronze
C00035,HSR Layout,2024-07-26,Bronze
C00036,Indiranagar,2023-12-22,Silver
C00037,Koramangala,2023-12-24,Silver
C00038,HSR Layout,2024-03-14,Bronze
C00039,Indiranagar,2024-12-01,Bronze
C00040,Marathahalli,2023-11-16,Bronze
C00041,HSR Layout,2024-03-10,Bronze
C00042,Malleshwaram,2024-11-02,Bronze
C00043,Marathahalli,2023-09-29,Bronze
C00044,Whitefield,2024-09-05,Bronze
C00045,Malleshwaram,2024-01-26,Bronze
C00046,Rajajinagar,2024-10-03,Gold
C00047,Whitefield,2023-12-08,Bronze
C00048,Whitefield,2024-04-04,Bronze
C00049,Marathahalli,2023-08-24,Gold
C00050,Koramangala,2024-04-08,Silver
C00051,Indiranagar,2023-08-27,Silver
C00052,Koramangala,2024-03-20,Bronze
C00053,Rajajinagar,2024-07-29,Silver
C00054,Marathahalli,2023-11-14,Bronze
C00055,Marathahalli,2023-11-10,Bronze
C00056,Rajajinagar,2023-08-24,Silver
C00057,HSR Layout,2024-06-17,Gold
C00058,Jayanagar,2024-03-08,Bronze
C00059,Koramangala,2024-01-13,Silver
C00060,Koramangala,2023-01-19,Gold
C00061,Marathahalli,2023-03-22,Bronze
