order_id,customer_id,restaurant_id,order_date,order_hour,is_weekend,cuisine,order_value,delivery_fee,discount,promo_code,distance_km,traffic_condition,driver_id,delivery_time_min,delivery_rating,weather,status
O000001,C04026,R0198,2024-07-01,11,0,Biryani,433,29,0,NONE,3.13,Moderate,D0053,25.0,3.0,Clear,Delivered
O000002,C04358,R0094,2024-10-12,19,1,Burgers,324,36,32,SAVE50,5.88,Heavy,D0361,45.0,2.0,Clear,Delivered
O000003,C04359,R0203,2024-08-16,19,0,Mexican,138,28,0,NONE,1.93,Low,D0576,30.0,3.0,Clear,Delivered
O000004,C00535,R0759,2024-06-04,15,0,Chinese,94,25,0,NONE,2.89,Low,D0189,23.0,4.0,Clear,Delivered
O000005,C02159,R0154,2024-09-11,11,0,Desserts,368,25,0,NONE,1.38,Low,D0204,18.0,4.0,Clear,Delivered
O000006,C03379,R0670,2024-08-03,20,1,Healthy,79,17,0,NONE,0.85,Low,D0351,30.0,2.0,Clear,Delivered
O000007,C03610,R0149,2024-07-09,23,0,Italian,233,36,23,SAVE50,3.41,Low,D0377,32.0,5.0,Clear,Delivered
O000008,C01576,R0017,2024-08-30,19,0,Biryani,80,19,16,WELCOME20,2.72,Low,D0277,43.0,3.0,Rain,Delivered
O000009,C04899,R0572,2024-02-02,19,0,Rolls & Wraps,209,35,0,NONE,3.97,Moderate,D0184,38.0,3.0,Clear,Delivered
O000010,C01364,R0416,2024-12-05,11,0,Korean,220,44,0,NONE,5.22,Heavy,D0326,30.0,4.0,Clear,Delivered
O000011,C02261,R0370,2024-05-05,14,1,Healthy,436,16,0,NONE,1.57,Moderate,D0495,24.0,4.0,Clear,Delivered
O000012,C01087,R0297,2024-03-24,8,1,Biryani,239,41,0,NONE,3.13,Moderate,D0517,25.0,3.0,Clear,Delivered
O000013,C01795,R0054,2024-10-15,8,0,Mexican,102,19,0,NONE,2.31,Moderate,,,,Clear,Cancelled
O000014,C04008,R0667,2024-03-27,15,0,Desserts,230,15,0,NONE,2.06,Moderate,D0067,21.0,4.0,Clear,Delivered
O000015,C04914,R0784,2024-12-30,12,0,Biryani,79,20,0,NONE,2.09,Heavy,D0092,28.0,4.0,Clear,Delivered
O000016,C02285,R0766,2024-06-06,19,0,North Indian,142,20,0,NONE,2.53,Heavy,D0177,31.0,4.0,Clear,Delivered
O000017,C01440,R0454,2024-04-21,21,1,South Indian,259,36,0,NONE,5.53,Heavy,D0440,52.0,3.0,Clear,Delivered
O000018,C01413,R0007,2024-01-24,14,0,Mexican,154,21,0,NONE,2.39,Heavy,D0401,34.0,4.0,Clear,Delivered
O000019,C02008,R0323,2024-01-16,9,0,Healthy,90,35,0,NONE,14.0,Low,D0032,55.0,1.0,Clear,Delivered
O000020,C01143,R0315,2024-02-05,11,0,Continental,148,38,30,WELCOME20,12.87,Heavy,D0057,60.0,1.0,Clear,Delivered
O000021,C04481,R0654,2024-01-03,15,0,Pizza,340,39,0,NONE,4.37,Moderate,D0513,32.0,4.0,Clear,Delivered
O000022,C00340,R0612,2024-05-02,15,0,Chinese,272,28,0,NONE,2.96,Low,D0297,25.0,4.0,Rain,Delivered
O000023,C04630,R0512,2024-04-26,18,0,Pizza,100,63,0,NONE,9.56,Low,D0153,46.0,1.0,Clear,Delivered
O000024,C01740,R0219,2024-06-09,21,1,South Indian,169,22,34,WELCOME20,1.49,Heavy,D0373,35.0,3.0,Clear,Delivered
O000025,C02280,R0558,2024-03-28,21,0,Italian,224,35,0,NONE,4.73,Heavy,D0367,43.0,3.0,Clear,Delivered
O000026,C02340,R0587,2024-01-24,19,0,South Indian,157,19,0,NONE,1.15,Low,D0333,37.0,3.0,Clear,Delivered
O000027,C02161,R0473,2024-01-27,10,1,Chinese,153,26,0,NONE,2.56,Heavy,D0264,18.0,5.0,Clear,Delivered
O000028,C04479,R0660,2024-03-09,10,1,Chinese,174,28,0,NONE,5.48,Moderate,D0211,45.0,2.0,Rain,Delivered
O000029,C03420,R0454,2024-04-28,13,1,South Indian,231,33,0,NONE,3.21,Low,D0034,39.0,4.0,Clear,Delivered
O000030,C00038,R0740,2024-02-25,19,1,South Indian,192,36,0,NONE,3.68,Moderate,D0061,60.0,1.0,Rain,Delivered
O000031,C04903,R0623,2024-05-16,20,0,North Indian,257,28,0,NONE,2.24,Low,D0111,22.0,3.0,Clear,Delivered
O000032,C02232,R0800,2024-12-08,19,1,Biryani,83,28,8,SAVE50,5.15,Low,D0414,37.0,3.0,Clear,Delivered
O000033,C03658,R0470,2024-04-07,21,1,North Indian,335,29,0,NONE,1.75,Heavy,D0526,32.0,3.0,Clear,Delivered
O000034,C02381,R0599,2024-03-03,12,1,Italian,181,28,18,SAVE50,3.72,Heavy,D0123,52.0,2.0,Clear,Delivered
O000035,C00137,R0222,2024-09-05,19,0,Chinese,141,25,0,NONE,4.01,Low,D0229,46.0,2.0,Clear,Delivered
O000036,C00014,R0728,2024-07-02,12,0,Italian,118,27,12,SAVE50,2.97,Low,D0549,44.0,2.0,Clear,Delivered
O000037,C02656,R0207,2024-01-19,19,0,Pizza,79,55,0,NONE,8.56,Low,D0364,51.0,2.0,Clear,Delivered
O000038,C00731,R0111,2024-10-21,5,0,Rolls & Wraps,166,42,17,FEST10,5.17,Moderate,D0178,67.0,2.0,Rain,Delivered
O000039,C00830,R0486,2024-09-24,18,0,North Indian,123,26,0,NONE,0.72,Heavy,D0354,24.0,4.0,Rain,Delivered
O000040,C00171,R0738,2024-12-25,21,0,Italian,156,30,16,SAVE50,4.85,Moderate,D0039,57.0,1.0,Rain,Delivered
O000041,C02295,R0027,2024-12-13,12,0,Seafood,120,41,12,FEST10,5.98,Low,D0596,43.0,2.0,Clear,Delivered
O000042,C04789,R0280,2024-08-06,21,0,Biryani,159,16,0,NONE,1.81,Moderate,D0525,46.0,3.0,Rain,Delivered
O000043,C00462,R0382,2024-09-13,7,0,South Indian,117,24,0,NONE,0.75,Moderate,D0033,31.0,4.0,Rain,Delivered
O000044,C02548,R0796,2024-06-02,19,1,North Indian,128,24,26,WELCOME20,2.21,Low,D0176,30.0,4.0,Clear,Delivered
O000045,C04332,R0585,2024-11-28,14,0,Rolls & Wraps,107,27,0,NONE,1.66,Moderate,D0400,34.0,4.0,Clear,Delivered
O000046,C04425,R0189,2024-07-25,5,0,Continental,207,30,0,NONE,4.81,Moderate,D0571,35.0,4.0,Clear,Delivered
O000047,C00089,R0468,2024-05-01,19,0,Healthy,121,28,0,NONE,2.76,Heavy,D0556,50.0,4.0,Clear,Delivered
O000048,C02551,R0430,2024-01-04,10,0,North Indian,307,41,0,NONE,3.4,Moderate,D0577,50.0,2.0,Rain,Delivered
O000049,C01107,R0673,2024-08-07,16,0,Korean,136,36,14,FEST10,3.14,Moderate,D0244,26.0,3.0,Clear,Delivered
O000050,C02260,R0200,2024-07-15,12,0,North Indian,219,15,0,NONE,2.12,Low,D0021,25.0,4.0,Clear,Delivered
O000051,C00263,R0425,2024-10-30,9,0,Desserts,79,42,0,NONE,5.5,Low,D0038,36.0,3.0,Clear,Delivered
O000052,C01600,R0111,2024-03-10,9,1,North Indian,163,51,0,NONE,7.62,Low,D0175,65.0,1.0,Clear,Delivered
O000053,C04817,R0244,2024-10-31,19,0,Desserts,174,38,17,SAVE50,8.72,Heavy,D0181,47.0,3.0,Clear,Delivered
O000054,C02802,R0144,2024-01-06,11,1,Chinese,165,34,16,FEST10,3.3,Low,D0185,41.0,3.0,Rain,Delivered
O000055,C04113,R0211,2024-08-07,13,0,Rolls & Wraps,86,41,0,NONE,4.19,Heavy,D0160,52.0,3.0,Rain,Delivered
O000056,C03566,R0387,2024-05-28,11,0,North Indian,188,36,0,NONE,4.99,Moderate,D0275,44.0,2.0,Rain,Delivered
O000057,C04885,R0789,2024-05-04,9,1,South Indian,106,32,21,WELCOME20,5.87,Heavy,D0021,59.0,1.0,Rain,Delivered
O000058,C01144,R0185,2024-06-10,0,0,Rolls & Wraps,173,45,35,WELCOME20,12.33,Low,D0052,63.0,2.0,Clear,Delivered
O000059,C02469,R0488,2024-03-24,16,1,Chinese,114,23,11,FEST10,2.98,Low,D0074,33.0,2.0,Clear,Delivered
O000060,C04845,R0601,2024-03-09,20,1,South Indian,160,38,0,NONE,7.56,Heavy,D0348,75.0,1.0,Rain,Delivered
O000061,C01179,R0343,2024-10-27,7,1,Cafe,186,42,0,NONE,5.74,Low,D0510,40.0,3.0,Clear,Delivered
O000062,C00656,R0523,2024-03-26,11,0,Desserts,145,25,0,NONE,3.79,Moderate,D0088,24.0,4.0,Clear,Delivered
