restaurant_id,zone,cuisines,rating,price_for_two,prep_time_min,lat,lon
R0001,Jayanagar,"Italian, South Indian",3.9,700,18,12.925238616518353,77.57463471456698
R0002,Marathahalli,Pizza,3.8,500,23,12.942982925417466,77.6915254126573
R0003,Indiranagar,Pizza,3.6,250,18,12.981577073332828,77.64111872823177
R0004,HSR Layout,"Chinese, Seafood",3.4,700,32,12.905245862810936,77.63864158900485
R0005,Jayanagar,"Chinese, North Indian",3.9,150,30,12.913168272874131,77.58904760954107
R0006,Marathahalli,South Indian,3.7,250,16,12.972100909898447,77.71655290139468
R0007,BTM Layout,Korean,4.2,350,19,12.942636656294024,77.60831234831251
R0008,Malleshwaram,"Chinese, Italian",4.3,500,15,13.026811441545837,77.54764946766743
R0009,Electronic City,Biryani,3.6,500,20,12.853001473165147,77.65511989924799
R0010,Electronic City,Korean,4.4,250,18,12.84201297905105,77.66089735808961
R0011,Electronic City,"South Indian, Pizza",4.6,250,25,12.844355733008745,77.66067627438947
R0012,Jayanagar,"Desserts, Mexican",3.4,350,16,12.929867227161548,77.60047244929616
R0013,Koramangala,Burgers,4.1,150,8,12.930157026970466,77.63019266289706
R0014,Marathahalli,Biryani,4.4,500,10,12.972725720721469,77.69943408681769
R0015,Marathahalli,Burgers,3.9,250,14,12.932471270068056,77.68678352290105
R0016,Jayanagar,"North Indian, Italian",4.4,250,15,12.92145129335215,77.58850632898034
R0017,Hebbal,"South Indian, Biryani",4.2,250,21,13.045412857904807,77.58952668132054
R0018,Marathahalli,"Chinese, Healthy",4.1,350,13,12.946758084232641,77.69767875436776
R0019,Whitefield,Burgers,3.0,500,15,12.966918213305865,77.7582940224231
R0020,Koramangala,North Indian,3.9,250,15,12.942323720994919,77.62934923299477
R0021,Koramangala,Rolls & Wraps,4.0,250,13,12.953419229284453,77.6343880685649
R0022,Whitefield,"Desserts, South Indian",4.6,700,15,12.954272740614005,77.74539100155677
R0023,HSR Layout,Desserts,4.5,350,15,12.895183106146941,77.66550032921943
R0024,Indiranagar,"North Indian, Rolls & Wraps",4.0,250,24,12.967047637745923,77.64887406215117
R0025,Indiranagar,South Indian,4.4,250,13,12.959949569793903,77.6421468161821
R0026,Indiranagar,"Mexican, Chinese, Biryani",3.6,700,19,12.960803458535063,77.64804015901254
R0027,Rajajinagar,"North Indian, Pizza, Chinese",4.1,350,16,12.979928065627664,77.54439087502442
R0028,Rajajinagar,Italian,4.3,250,24,13.006401922578952,77.52719494940847
R0029,Whitefield,South Indian,3.9,150,19,12.966055078183174,77.74271964357116
R0030,Indiranagar,Burgers,4.3,250,26,12.97877650127388,77.6497694834869
R0031,Koramangala,"Pizza, Healthy",4.2,250,13,12.92373442891895,77.62546259247627
R0032,Koramangala,Italian,3.9,150,20,12.942802444900774,77.62285798632786
R0033,HSR Layout,Biryani,4.4,250,16,12.934109168333993,77.63722591915067
R0034,Koramangala,Chinese,4.0,150,13,12.924548441391527,77.601030090089
R0035,Whitefield,Chinese,4.0,250,20,12.990496980452896,77.76709814744977
